1               1                   
2               211                 
3               1589                
4               1588                
5               1589                
6               1588                
7               1589                
8               1588                
9               1588                
10              1589                
11              1589                
12              1589                
13              1589                
14              1588                
15              1589                
16              1588                
17              1589                
18              1588                
19              1588                
20              1589                
21              1588                
22              1589                
23              1589                
24              1589                
25              1586                
26              1589                
27              1589                
28              1589                
29              1589                
30              1587                
31              1589                
32              1589                
33              1589                
34              1589                
35              1589                
36              1588                
37              1589                
38              1589                
39              1589                
40              1589                
41              1589                
42              1588                
43              1589                
44              1588                
45              1588                
46              1588                
47              1589                
48              1589                
49              1587                
50              1588                
51              1589                
52              1587                
53              1589                
54              1589                
55              1588                
56              1588                
57              1589                
58              1589                
59              1589                
60              1589                
60              1587 
